PDF Link,Download_Status,File_Size_KB,Error_Message,Downloaded_At
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11062584,success,2862.0,,2026-01-03 20:58:43.264955
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11062566,success,4279.7529296875,,2026-01-03 20:58:44.604970
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11062591,success,3564.630859375,,2026-01-03 20:58:42.302022
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11062523,success,1307.712890625,,2026-01-03 20:58:41.669881
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11062638,success,2543.5009765625,,2026-01-03 20:58:44.231621
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11058691,success,725.9599609375,,2026-01-03 20:58:44.145836
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11059893,success,6062.05859375,,2026-01-03 20:58:51.947818
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11059926,success,2924.9375,,2026-01-03 20:58:49.585896
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11059978,success,1356.1806640625,,2026-01-03 20:58:47.413974
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11058972,success,7010.927734375,,2026-01-03 20:58:56.675408
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11059963,success,1999.439453125,,2026-01-03 20:58:48.639651
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11058947,success,1928.5595703125,,2026-01-03 20:58:52.100531
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11058976,success,5121.84375,,2026-01-03 20:58:56.672592
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11059965,success,1507.70703125,,2026-01-03 20:58:54.570106
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11059872,success,1434.6552734375,,2026-01-03 20:58:55.691600
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11059942,success,3094.794921875,,2026-01-03 20:58:58.873423
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11058929,success,7412.619140625,,2026-01-03 20:59:11.152218
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11059235,success,3616.89453125,,2026-01-03 20:59:02.435105
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11058926,success,4895.2734375,,2026-01-03 20:59:05.584505
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11059239,success,3308.9716796875,,2026-01-03 20:59:03.567017
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11058967,success,4277.6025390625,,2026-01-03 20:59:07.720042
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11059961,success,3472.908203125,,2026-01-03 20:59:06.867926
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11059889,success,3320.0712890625,,2026-01-03 20:59:08.807794
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11058970,success,6839.462890625,,2026-01-03 20:59:16.815398
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11058925,success,1745.935546875,,2026-01-03 20:59:10.992595
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11059929,success,2656.3583984375,,2026-01-03 20:59:13.994163
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11059251,success,4965.03515625,,2026-01-03 20:59:17.472810
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11059907,success,2215.578125,,2026-01-03 20:59:16.077271
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11059937,success,3570.8701171875,,2026-01-03 20:59:18.726862
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11059894,success,8935.2978515625,,2026-01-03 20:59:26.593107
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11058936,success,1778.6767578125,,2026-01-03 20:59:19.972566
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11059954,success,3413.357421875,,2026-01-03 20:59:24.530224
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11058930,success,1444.87109375,,2026-01-03 20:59:21.838732
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11059908,success,2778.1162109375,,2026-01-03 20:59:24.984684
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11058927,success,2297.3759765625,,2026-01-03 20:59:24.620441
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11059895,success,5462.90625,,2026-01-03 20:59:30.756621
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11059903,success,2221.7978515625,,2026-01-03 20:59:28.651671
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11059879,success,5879.763671875,,2026-01-03 20:59:33.685037
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11059932,success,2073.23046875,,2026-01-03 20:59:28.253986
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11058928,success,2300.0224609375,,2026-01-03 20:59:32.061684
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11058934,success,1280.3203125,,2026-01-03 20:59:34.036099
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11059876,success,6271.396484375,,2026-01-03 20:59:41.242672
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11059241,success,6102.79296875,,2026-01-03 20:59:40.207563
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11059931,success,2004.0263671875,,2026-01-03 20:59:35.744003
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11058940,success,2698.66796875,,2026-01-03 20:59:37.336469
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11059875,success,2376.4921875,,2026-01-03 20:59:39.382297
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11150414,success,1989.0380859375,,2026-01-03 20:59:39.144385
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11148490,success,1145.2265625,,2026-01-03 20:59:40.040882
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11148242,success,4360.4296875,,2026-01-03 20:59:48.658140
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11148234,success,2532.03125,,2026-01-03 20:59:45.581970
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11148236,success,3297.1240234375,,2026-01-03 20:59:47.076750
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11150424,success,3354.66796875,,2026-01-03 20:59:48.137136
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11149656,success,4983.529296875,,2026-01-03 20:59:50.233797
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11150419,success,567.2138671875,,2026-01-03 20:59:48.101131
